Cantidad,Esp Form,Cam. Rel.
100,94.44444444,88.88888889
88.88888889,77.77777778,100
83.33333333,72.22222222,77.77777778
83.33333333,83.33333333,66.66666667
83.33333333,83.33333333,61.11111111
94.44444444,72.22222222,77.77777778
83.33333333,72.22222222,72.22222222
94.44444444,55.55555556,66.66666667
94.44444444,72.22222222,66.66666667
100,83.33333333,44.44444444
100,50,66.66666667
94.44444444,77.77777778,55.55555556
83.33333333,66.66666667,66.66666667
94.44444444,38.88888889,66.66666667
94.44444444,38.88888889,61.11111111
83.33333333,55.55555556,61.11111111
83.33333333,44.44444444,61.11111111
94.44444444,61.11111111,55.55555556
72.22222222,72.22222222,55.55555556
72.22222222,50,72.22222222
72.22222222,66.66666667,61.11111111
83.33333333,38.88888889,72.22222222
72.22222222,55.55555556,66.66666667
72.22222222,50,72.22222222
100,38.88888889,50
66.66666667,50,72.22222222
61.11111111,61.11111111,61.11111111
72.22222222,44.44444444,66.66666667
72.22222222,61.11111111,50
72.22222222,50,55.55555556
88.88888889,33.33333333,61.11111111
94.44444444,38.88888889,55.55555556
77.77777778,55.55555556,55.55555556
66.66666667,55.55555556,61.11111111
88.88888889,38.88888889,50
83.33333333,44.44444444,50
94.44444444,50,38.88888889
77.77777778,27.77777778,61.11111111
94.44444444,38.88888889,38.88888889
88.88888889,55.55555556,33.33333333
77.77777778,38.88888889,50
83.33333333,33.33333333,50
72.22222222,38.88888889,50
66.66666667,66.66666667,33.33333333
83.33333333,33.33333333,44.44444444
66.66666667,22.22222222,66.66666667
94.44444444,33.33333333,38.88888889
61.11111111,44.44444444,55.55555556
83.33333333,38.88888889,44.44444444
55.55555556,50,50
50,44.44444444,61.11111111
44.44444444,72.22222222,50
83.33333333,38.88888889,33.33333333
72.22222222,27.77777778,55.55555556
77.77777778,38.88888889,44.44444444
61.11111111,38.88888889,50
83.33333333,33.33333333,33.33333333
61.11111111,55.55555556,38.88888889
66.66666667,27.77777778,50
55.55555556,44.44444444,50
83.33333333,33.33333333,33.33333333
88.88888889,27.77777778,33.33333333
77.77777778,33.33333333,38.88888889
61.11111111,38.88888889,44.44444444
72.22222222,38.88888889,33.33333333
83.33333333,44.44444444,27.77777778
88.88888889,38.88888889,22.22222222
83.33333333,33.33333333,22.22222222
50,50,38.88888889
77.77777778,27.77777778,33.33333333
77.77777778,33.33333333,38.88888889
66.66666667,44.44444444,33.33333333
77.77777778,33.33333333,27.77777778
44.44444444,50,38.88888889
88.88888889,27.77777778,27.77777778
72.22222222,16.66666667,44.44444444
61.11111111,33.33333333,44.44444444
72.22222222,33.33333333,33.33333333
50,50,38.88888889
61.11111111,27.77777778,44.44444444
55.55555556,33.33333333,44.44444444
61.11111111,33.33333333,33.33333333
83.33333333,38.88888889,11.11111111
66.66666667,27.77777778,33.33333333
61.11111111,33.33333333,38.88888889
88.88888889,33.33333333,5.555555556
44.44444444,38.88888889,44.44444444
38.88888889,50,33.33333333
44.44444444,33.33333333,38.88888889
44.44444444,38.88888889,38.88888889
38.88888889,50,38.88888889
33.33333333,55.55555556,33.33333333
55.55555556,33.33333333,38.88888889
66.66666667,33.33333333,27.77777778
55.55555556,38.88888889,22.22222222
50,38.88888889,38.88888889
61.11111111,38.88888889,27.77777778
16.66666667,55.55555556,38.88888889
22.22222222,61.11111111,27.77777778
38.88888889,55.55555556,27.77777778
38.88888889,44.44444444,38.88888889
66.66666667,16.66666667,38.88888889
88.88888889,27.77777778,0
38.88888889,33.33333333,44.44444444
61.11111111,33.33333333,27.77777778
61.11111111,33.33333333,16.66666667
38.88888889,33.33333333,38.88888889
33.33333333,33.33333333,44.44444444
44.44444444,38.88888889,22.22222222
38.88888889,50,22.22222222
55.55555556,27.77777778,33.33333333
72.22222222,33.33333333,0
66.66666667,38.88888889,0
55.55555556,22.22222222,33.33333333
27.77777778,50,22.22222222
55.55555556,38.88888889,11.11111111
44.44444444,33.33333333,11.11111111
38.88888889,33.33333333,27.77777778
38.88888889,38.88888889,22.22222222
33.33333333,27.77777778,33.33333333
55.55555556,22.22222222,16.66666667
33.33333333,33.33333333,16.66666667
66.66666667,22.22222222,0
55.55555556,27.77777778,5.555555556
66.66666667,22.22222222,0
33.33333333,27.77777778,16.66666667
27.77777778,38.88888889,11.11111111
27.77777778,27.77777778,22.22222222
16.66666667,22.22222222,38.88888889
33.33333333,22.22222222,16.66666667
27.77777778,33.33333333,11.11111111
16.66666667,22.22222222,22.22222222
61.11111111,0,0
11.11111111,16.66666667,11.11111111
0,0,0
0,0,0
